,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,1,0,0,0,0,0.07048855905998763,0.0,0.19885985841123321,0.7435897435897436,2,2,1
1,1,1,1,0,0,0.05482993197278912,0.03619171046631627,0.17221418234442834,0.7435897435897436,2,0,0
2,1,1,0,0,1,0.0352504638218924,0.0,0.0824891461649783,0.7435897435897436,2,2,1
3,1,1,0,1,0,0.030092764378478663,0.05659154726762186,0.1606367583212735,0.7435897435897436,2,2,1
4,1,0,0,0,0,0.07235621521335807,0.0,0.19102749638205496,0.7435897435897436,2,2,1
5,1,1,2,0,1,0.06514533085961657,0.100703194374445,0.3733719247467438,0.7435897435897436,2,2,1
6,1,1,0,1,0,0.027000618429189858,0.03638370893032856,0.12445730824891461,0.7435897435897436,2,2,1
7,1,1,3,0,0,0.03569573283858998,0.060095519235846113,0.21562952243125902,0.7435897435897436,0,1,0
8,1,1,2,0,0,0.047693259121830554,0.03662370701034392,0.23010130246020258,0.7435897435897436,2,2,1
9,1,1,1,0,0,0.15696969696969698,0.2632298941608467,0.49204052098408096,0.7435897435897436,2,1,0
10,1,1,2,0,0,0.037724180581323444,0.01679986560107519,0.08827785817655572,0.7435897435897436,2,2,1
11,1,1,2,0,0,0.02906617192331478,0.04415964672282622,0.14471780028943557,0.7435897435897436,2,2,1
12,1,1,2,0,0,0.03615337043908473,0.19454244366045073,0.276410998552822,0.7435897435897436,2,2,1
13,1,0,0,0,0,0.021063698206555348,0.0681594547243622,0.15195369030390735,0.7435897435897436,2,0,0
14,1,1,2,0,0,0.014211502782931354,0.026063791489668083,0.011577424023154847,0.2307692307692308,2,2,1
15,1,0,0,0,0,0.05936920222634509,0.0,0.16787264833574528,0.7435897435897436,2,2,1
16,1,0,1,1,0,0.04262213976499691,0.0,0.13169319826338638,0.4871794871794872,1,2,1
17,0,0,0,0,0,0.041558441558441565,0.0,0.09696092619392185,0.7435897435897436,0,2,0
